SCHL
GAP
MIN
ORI
AMTM
ALGT
COLM
SBLK
SIGA
PAA
UHS
OXLC
PINS
BSVN
JBS
AENT
TTI
VEL
GCBC
CL
ROOT
EXP
MTG
DORM
TCMD
IDCC
NUTX
MORN
NFE
CTSH
HCKT
FSM
RDN
BMA
LZ
HOV
AVO
LE
CGAU
WDS
LDI
VBNK
RYN
SAFT
FWRD
SNA
DSGR
ATR
FUFU
PACS
ABEV
GTN
MDXG
MGPI
CHCO
ACTG
WABC
CTEV
MGM
ATMU
PSMT
AMCX
RES
GAIN
TMUS
LILA
HLNE
NGVC
TITN
ALRM
AR
USCB
CCRN
RGR
SGU
JHG
KROS
ERIC
LUCK
BLX
XP
PRTC
SEZL
ALIT
SCHW
SLM
CNA
CRTO
GDEV
GIL
TSN
DAC
BMRC
PGR
MHK
WSFS
SOHU
NVR
WS
PRMB
RUSHA
SKWD
TGLS
DIOD
CQP
FCF
ERO
CYD
MG
ULCC
RDY
UFCS
THO
NRDS
PKG
BHP
QNST
ATUS
HALO
IBN
CHEF
AROC
BMY
LILAK
LEN
MPLX
LRN
TDAY
DOX
CNQ
PGC
TX
TOL
BBCP
KNSL
ITIC
TRMK
BVN
HLX
OIS
SENEA
AGRO
CRD-A
FHB
IIPR
BV
CDLR
ETD
DGII
TREX
BWLP
DOCU
AER
NMRK
CENT
INVX
IRS
IREN
SLB
TEN
GEF
NGL
HCSG
HAE
RBCAA
AX
SFNC
RAMP
PHI
CBNK
NUS
RCI
DFIN
HAFN
CB
CINF
PSFE
JNJ
CYH
NOV
NEU
FFBC
HGV
APA
ANGI
AIG
BF-A
MWA
INVA
DINO
MRTN
LX
PYPL
EHAB
OMAB
ADEA
VLO
BSAC
BHF
ECO
PGNY
LULU
SSP
PFBC
GL
SEPN
AMRK
CNXC
DHC
HZO
STLA
POWL
MSA
UP
MBUU
XPOF
TPC
UVE
FBP
GDOT
GES
LKFN
ACEL
AHCO
AESI
AFYA
RNG
CADE
HMY
GSL
BTE
GLRE
GRMN
BKE
TRMD
BMRN
CAPL
MPWR
NTCT
ULH
AMR
VC
CRC
BZH
RELY
SSTK
NOAH
CCB
FOX
FWRG
JBLU
UPS
XNET
ALG
SIGI
IMO
GSM
WT
AGCO
VFF
CTRI
ACIC
CLOV
ACT
HIPO
NIC
DOLE
SEIC
SKYT
HSIC
RJF
ARDT
ILPT
PUK
SFIX
TASK
UTZ
JOUT
DOOO
SU
PAYC
CWBC
INGM
GNE
NRIM
OPY
EFSC
DDI
LIND
WTM
WMK
NXT
SNEX
MAX
AA
AIZ
FFIN
VAL
FIHL
WDH
CCS
AZZ
NVS
WEX
BNED
BABA
NEXN
ASTH
SPFI
CODI
SPB
SCI
VTLE
SBGI
DECK
SLDE
CTLP
ABT
NC
SF
FANG
APPS
CPA
CNXN
ADM
TBLA
HPK
CARG
APO
KSPI
MPB
CRSR
WIT
FAF
LBTYA
G
HOPE
WSM
CRUS
ATGE
PDS
WTW
KRT
JPM
FOXA
PUBM
MCBS
SNCY
RLI
CART
UNP
EBF
UAN
IAC
ITW
PG
AMAL
YRD
VLY
ENPH
FDS
BKKT
LNG
MLR
ARLP
FPI
VNT
UMBF
PBF
WES
NVO
CFG
VET
GBLI
MTDR
CALM
DFH
MTUS
MSB
SBS
HON
ALSN
OMF
WTTR
HLLY
PBR
MBLY
LGIH
GIS
EG
IRDM
EXPI
CRMD
MCRI
INMD
PRI
HTB
MCB
DLB
ARKO
BORR
SNY
ACN
EVTC
HSII
HTBK
UVSP
FLG
HAFC
OLPX
IEP
RH
TBBK
FDP
CERT
EIX
CPB
FULT
MTH
COLB
LAUR
FFWM
SLGN
OSBC
GGB
MAIN
ODD
BALY
VIV
BNT
IMKTA
CTMX
LOPE
SAH
MODG
ADBE
MNRO
LUXE
WFG
GFI
AB
ON
SRCE
TREE
NXPI
REVG
FBIZ
SMBK
CRCT
GPRK
ATLC
CBZ
RYAAY
BWFG
EVER
FSBC
PUMP
ASR
CMBT
CHKP
OSK
FTK
GIB
OPRA
ESQ
IPAR
OBT
OTTR
REGN
COMP
NOMD
PLMR
SEM
GDDY
EBAY
TIPT
AVAH
LSAK
TRV
SCSC
INFY
RBBN
ZTS
ZIM
DAVE
BMBL
PAGS
URI
AMBP
LEGH
YOU
PFG
ENR
PCB
BLBD
PDD
IBOC
POST
UMC
AFG
NATR
DKL
REAX
IMXI
ERIE
NWPX
FSUN
TPH
